"Padre, apasionado de los deportes y candidato de Lo Nuevo.Soy Máynez y quiero ser presidente de México."
"El Monseñor Salvador Rangel fue encontrado con vida. Luego de ser secuestrado se encuentra hospitalizado pero estable. Pese al mal momento, son buenas noticias. Su caso, como el de miles de mexicanos, no debe quedar impune."
"La @uanl es una de las instituciones más importantes de Nuevo León y de México y hoy tuve el privilegio de visitarla para dialogar con la comunidad universitaria de frente.Además, su rector me hizo entrega de una serie de propuestas e ideas para el #MéxicoNuevo en representación al Consejo Universitario."
Una de las preguntas que más recibo en los últimos días tanto en redes sociales como en las calles es: ¿Cómo te ayudo? Ustedes me han dado la respuesta:
"Mi respuesta para @alitomorenoc y @MarkoCortes: 1. Si el bien mayor es derrotar a Morena, la única opción que hoy puede hacerlo es la nuestra. Ustedes sepultaron al PRIAN.2. Si quieren declinar por mí, podría aceptar siempre y cuando renuncien a ser dirigentes y a sus pluris."
"Conozco a @loreniacanavati desde hace más de 10 años. Siempre ciudadana, siempre luchando por un mejor San Pedro. Hoy la acompañé a pegar calcas y a saludar a la gente emprendedora y trabajadora de este gran municipio. ¡Lorenia SÍ puede!"
"Venir a Monterrey y no pasar a los tacos de El Compadre es como no venir a Monterrey. Gracias a la gente por todo su cariño. Y si no han venido, prueben la gloria. Chicharrón, Cabeza y Pierna son mi "
Es innegable que nuestro crecimiento tiene asustados a los de la vieja política. Morena impugnó este spot pero eso no es lo peor: La comisión de quejas del INE les dio la razón y van a intentar bajarlo. ¿Pueden creerlo?  No podrán detener #LoNuevo.
"A propósito de esta enorme banda (desde mi punto de vista, la #1 del rock en español si incluimos los desdobles / secuelas como La Barranca): Hoy es un buen día para escuchar “El Comunicador”."
"¡Viva México!  Bien ahí,  @Arsenal"
"Y pensar que hay quien gasta millones en asesores, cuando lo que este país necesita es que escuchemos a las niñas y los niños. Mi mejor asesor tiene 5 años. #Luciano"
"Para la comentocracia, Si yo hubiera propuesto reducir las pensiones a los 60 años y dejar de cobrar impuestos, sería un populista irresponsable, Si yo hubiera dicho apoyar el Tren Maya y Tula, con gas (el metano es 84 veces más potente que el dióxido de carbono) sería esquirol."
El próximo sexenio vamos a convertir el salario mínimo en un salario digno. ¡En el #MéxicoNuevo todos ganan!
"En un sexenio podemos lograr dos días de descanso a la semana, un salario mínimo de $10,000 pesos mensuales y un nuevo programa de vivienda social. ¡Vamos a tener el mejor México de la historia!"
Fue un gusto conversar con @jorgeramosnews sobre cómo ha cambiado el guion de la elección presidencial en México. La nación mexicana incluye a las mexicanas y mexicanos en el exterior y el próximo gobierno estará para servirles y defenderlos.
"¿Ustedes creen que la gente pondría una canción de la vieja política en sus fiestas, en sus bodas o en los lugares a los que disfrutan ir? Gracias a las personas que están construyendo este fenómeno social. ¡México tiene derecho a bailar y sonreír!"
"Muchas personas me han preguntado cómo pienso detonar la prosperidad de México. Lo haré resolviendo 3 problemas: seguridad, agua y energía. Vamos a poner a México en Movimiento con la energía del sol y el viento. Conoce más sobre esta propuesta en el enlace"
"Llegamos al medio tiempo de la campaña presidencial y el partido se puso bueno. La tribuna se ha convertido en el jugador número 12 y, con su apoyo, vamos #ACambiarElMarcador"
"Para cerrar el día, les comparto esta belleza. Este es el país en el que creo y ellos son la razón para hacerlo. Por eso digo que por el bien de todos, primero las niñas y los niños."
"Hoy jugamos en el Maracaná. Tepito es ley. El partido se puso bueno, y la remontada ya empezó. #PresidenteMáynez"
"Estamos en Tultitlán, Estado de México. La vieja política ha abandonado y saqueado a este gran estado y hoy estuvimos aquí para refrendar que el próximo sexenio las niñas y los niños irán primero. ¡Un México Nuevo, un país de iguales!"
"¡Gracias, Tepito! Me llevo este día y me los llevo a ustedes en el corazón. Habrá justicia para el barrio porque aquí la alegría sobra. #PresidenteMáynez"
"¡El México Nuevo le apuesta a los jóvenes y su educación! Llevaremos a un millón de jóvenes a la universidad, aumentaremos el nivel educativo y fortaleceremos el Sistema Nacional de Investigación con la integración de las escuelas privadas. #LoNuevoVaEnSerio"
Ayudamos a quitar la basura de la política basura. Lo nuevo es respetar la ley y cuidar al planeta. ¡Por tus hijos y los míos!
¡Atención México! Este es un llamado a la acción. El PRI y la vieja política se quieren robar nuestra canción pero no lo vamos a permitir. No nos van a quitar la sonrisa y tampoco el derecho a que México vuelva a sonreír. Puedes seguir escuchando la canción aquí 
"No hay nada que perseguir y nada que curar en la diversidad. Alex Cervantes ha defendido esta causa con gran esfuerzo y dedicación. Hoy tuve el honor de entregarle un reconocimiento en la Fosfo Gala, junto a otras y otros jóvenes que han destacado por su talento en el deporte, la cultura y el activismo. ¡Enhorabuena a todas las y los premiados!"
"¡Es viernes y el cuerpo lo sabe! ¡Si ponen la del Presidente Máynez en fiestas, el antro o en una boda, etiquétenme en el video!"
"Los jóvenes me preguntan si van a seguir las becas. Las vamos a duplicar. Pero además, agregaremos vales culturales para que puedan ir al cine, al teatro, a conciertos, o a la danza. ¡Lo que les guste! Así formaremos públicos, para que la cultura florezca en todo México."
"Cada 6 años, la Cámara de Diputados despide de forma anticipada a cientos de trabajadores para no respetar sus derechos laborales. Hace 6 años alcé la voz en su defensa y hoy que la historia se repite sigo pensando lo mismo. ¡No están solos!"
"En Puebla la gente quiere algo nuevo. Y Lo Nuevo es un cambio de estrategia en seguridad, un modelo de prosperidad que respete la naturaleza y un país de iguales con educación y salud universal. ¡Sigamos demostrando que el #MéxicoNuevo es posible y depende de nosotros!"
"¿Quién va a cambiar el país? ¿La persona que gobierne? ¿Un partido político? No. Ese ha sido el error. Lo vamos a cambiar entre todas y todos y por eso no te invito a que creas en mí, te invito a que creas en ti y en que vas a decidir lo mejor para tu familia:"
"Estar en la @udg_oficial, estar en el Salvador Allende y estar con una nueva generación. Yo ya gané en esta elección. Y lo que sigue es que pongamos a México de pie, para construir el país que todas y todos nos merecemos. #MéxicoNuevo"
"Estuve con los obispos de todo el país, en la Conferencia del Episcopado Mexicano. Ahí reconocí a la Iglesia Católica por construir un Compromiso por la Paz y convoqué a un diálogo para pacificar al país e iniciar una etapa de reconciliación."
"Estuvimos en Puebla, invitados por la @UPAEP, para platicar de frente y sin filtros con las y los jóvenes sobre sus problemas y las soluciones. Conversamos sobre un México que cuide del medio ambiente, que apueste por el arte y la cultura y que genere igualdad de oportunidades: un México Nuevo ¡Los jóvenes ya tomaron esta campaña, es de ellos y para ellos!"
"Los que dejaron de sonreír nos quieren quitar el derecho a hacerlo. Afortunadamente, esta elección la van a decidir las nuevas generaciones. ¿Y qué creen? No me van a quitar la sonrisa, porque México va a volver a sonreír."
"El futuro le pertenece a nuestras hijas e hijos, pero es nuestra responsabilidad aportar ideas, causas y soluciones para que tengan un mejor país donde vivir. En el México Nuevo, vamos a trabajar por la felicidad de las niñas y niños. #LoNuevoVaEnSerio"
"Vamos muy bien, porque la gente ya se dio cuenta de que existe una mejor opción a las dos candidatas de la vieja política. Una opción con propuesta, con visión y que ofrece soluciones para que México sea un país más justo, más próspero y más seguro. ¡Hoy estuvimos en Durango y seguimos convocando a la gente a que crean en ellos mismos! Llegó la hora de poner a México de pie."
"Las y los jóvenes merecen viviendas asequibles, aire limpio en la ciudad y seguridad en las calles."
"De norte a sur y de este a oeste, el Movimiento para cambiar el futuro de México sigue creciendo. Llenando las plazas y las universidades hoy, para llenar mañana los hospitales de medicinas y las calles de seguridad. ¡Llegó Lo Nuevo y va en serio! #PresidenteMáynez"
"l derecho a la identidad es un derecho humano. Los derechos culturales son un derecho humano. Las lenguas, más allá de “ser padres”, constituyen la identidad y la cultura de las personas. México es una nación pluricultural y plurilingüistica. Además, hay que aprender inglés."
¡GOLEADA! Lo dijimos antes del partido y en la cancha lo demostramos. Así el marcador del primer debate: Lo Nuevo 5-0 La vieja política. #LoNuevoVaEnSerio #PresidenteMáynez
"Nunca olvidaré este día en el Auditorio Salvador Allende de la @udg_oficial. Gracias por el recibimiento, el diálogo y la energía."
"Por mis hijos y los tuyos, construyamos juntas y juntos un México Nuevo, con oportunidades, paz, justicia e igualdad. En el primer debate presidencial le demostramos a México que sí hay una mejor opción: #LoNuevo, con propuestas reales, viables y honestas. #PresidenteMáynez #DebateINE"
El proyecto del México Nuevo está creciendo con al apoyo y el respaldo de las y los jóvenes. Muchas gracias por confiar en que sí podemos hacer un cambio y construir el país que nuestros hijos merecen. ¡Hasta la victoria!
"¡Todas y todos queremos algo Nuevo! Y lo mejor es que es nuestro derecho: un mejor futuro para nosotros y la gente que queremos. Ni regresar al pasado, ni conformarnos con el presente. ¡En equipo, vamos juntas y juntos por el mejor México de la historia!"
"A los “dueños de México” les duele que mi campaña no es de ellos. Y los jóvenes ya se dieron cuenta que es de ellos. Tras el debate, el poder económico dio la orden de “bloquear a Máynez” pero miren: Hace 1 semana, su candidata tenía el triple de seguidores que yo en TikTok. Ayer le dimos la vuelta."
"Es un orgullo visitar el Auditorio Salvador Allende, por lo que representa este espacio para la comunidad universitaria de la @udg_oficial y por la oportunidad de escuchar y dialogar con las y los jóvenes del CUGDL."
"¡Y el partido se puso bueno! Ahora México ya sabe que sí hay una nueva opción. En los próximos debates, seguiremos proponiendo y demostrando que un mejor país es posible: un #MéxicoNuevo. #PresidenteMáynez"
"El más descarado autoritarismo en América Latina y en México emana de los poderes no electos en las urnas: los poderes fácticos. La desesperada campaña que hoy han intentado desplegar frente a la contundencia de lo que sucedió ayer es vergonzosa. En el caso de Héctor, una pena."
"Juguemos ADIVINA QUIÈN. Decían defender al INE y marchar por la democracia. Después del pésimo desempeño de su candidata en el debate, le echan la culpa al INE (aunque el formato lo aprobaron las candidatas) y quieren que marche la democracia (y que yo no esté en los debates)."
"Estoy aquí porque quiero un México Nuevo para quienes cuidan de México. Para que las mujeres puedan estudiar, trabajar y disfrutar la vida en igualdad de condiciones, el México Nuevo se construye con un nuevo sistema nacional de cuidados. ¡Con ellas, Lo Nuevo va en serio!"
"El que no se da cuenta de las consecuencias de la polarización que su mezquindad trajo a México, en 2006, es usted. Es un honor NO ser su candidato. Gracias por dejarlo claro. Y que México lo tenga claro: con nosotros se acaba la guerra e inicia la pacificación de nuestro país."
Qué bueno que el propio @Reforma desmienta su nota de 8 columnas. Y que el periodismo de @Reforma contradiga sus intereses. Al menos no llegaron al tono fascistoide de @leozuckermann que le pide al PRIAN más guerra sucia y al @INEMexico excluirme. Por fortuna: #BenditasRedes
"Buenos días. Así amanecemos: contentos, celebrando con mi familia y con mi familia extendida, que son todas y todos ustedes. Felices por haberle podido demostrar a México que, con ideas nuevas y propuestas reales, podemos construir un mejor futuro para todas y todos."
"Quiero reconocer, antes de dormir, a todas las personas que hicieron posible este debate. En especial, al personal de logística, limpieza y seguridad del @INEMexico siempre amable y servicial. A @DeniseMaerker y @MLopezSanMartin: estuvieron impecables. Dignifican su vocación."
"Gracias México, le vamos a dar la vuelta al marcador. El México Nuevo va en serio. #DebateINE #PresidenteMáynez"
"No quiero ser el mejor presidente de México, quiero ser el presidente del mejor México posible. #DebateINE #PresidenteMáynez"
"La mejor manera de ser transparente, de ser honesto, es llegando a la buena, es llegar sin ningún compromiso con grupos de interés. #DebateINE #PresidenteMáynez"
No hay que ser selectivos en el combate de la corrupción. Hay que investigar al actual gobierno y a cualquier responsable sin distingos partidistas. #DebateINE #PresidenteMáynez
"No solo se trata de qué proponemos sino de qué hicimos y qué hemos hecho para fortalecer la transparencia y el combate a la corrupción, estas son algunas de las iniciativas que hemos presentado desde la Bancada Naranja. #DebateINE #PresidenteMáynez"
"No solo hay dos visiones de país, aunque las coaliciones digan lo contrario. Habrá una nueva alternativa en la boleta. México va a ser mucho mejor que lo que fue en el pasado y mucho mejor que lo que es en el presente. #DebateINE #PresidenteMáynez"
Esta noche es por Constanza y Luciano. Es por nuestras hijas e hijos. Es por el futuro de México.
Llegó el día. Hoy comienza la remontada más grande de la historia de México y la harás posible tú. ¡Va por tus hijos y los míos! Nos vemos a las 8:00 p.m.

